Gid,SE_T002_002,SE_T030_002,SE_T083_001,SE_T147_001
12057013203,3351.444,0,33980,29
12057013204,3951.87,0,24449,26
12057013205,3799.115,0,28366,37
12057013206,3046.284,0,34367,31
12057013207,398.353,0,28953,32
12057013208,1581.119,0,52736,30
47187050208,1307.21,0,59610,22
53063004601,3855.645,0,28256,16
22033000500,4262.929,26.79,14928,21
38035010300,7170.776,0,10184,11
39035101603,11534.05,15.61,11753,24
40037020103,446.7657,5.26,34996,20
13135050539,6118.35,4.89,18231,31
08005006858,4510.129,0,49654,23
13063040303,2860.308,0,13958,33
36083040700,7312.515,0,18372,22
13063040307,3849.214,9.42,15119,32
13063040306,2491.341,7.85,11559,30
17055040400,94.17457,11.43,20572,26
34003009100,2421.216,0,74823,39
29510102300,4094.027,0,26380,22
34031246104,2326.765,0,43837,25
41011000700,478.7991,7.37,26987,15
06057000103,278.1689,0,33322,36
48029150400,6772.084,13.48,14498,21
47167040304,258.6554,10.22,23576,36
47167040303,383.3166,0,29076,32
36001013602,1366.545,17.53,41110,16
36047006700,64144.25,0,78827,36
27099000900,588.654,5.05,32017,15
34003028001,5701.58,0,40949,33
28139950400,44.26147,10.19,21430,23
11001009501,12379.52,0,15737,29
12045960300,19.051,6.88,25153,17
06019005509,5012.034,0,31956,18
06019005508,5228.728,0,38907,25
06019005507,5796.989,0,37980,22
29031880500,787.5054,3.06,29306,19
06019005505,6619.571,5.93,35233,26
06019005504,3280.953,2.55,44154,23
06019005503,797.4047,0,49907,24
51800075701,354.7423,0,25250,29
39169003000,108.2471,8.7,28055,24
30049000600,17.03385,0,37712,25
36103158001,845.7197,6.25,84382,33
08075966400,3.034885,11.46,20852,23
36103158006,2457.045,0.82,47441,31
36103158007,5385.972,0,5359,19
36103158009,3023.392,0,49906,32
13313001500,219.7759,14.38,22263,20
29095015500,108.3286,0,15682,22
48439101700,2469.724,6.25,6986,26
42039112002,69.43844,5,26102,26
48215022203,3773.205,2.94,9787,21
04019004312,2632.944,1.69,21522,24
31109003713,1909.16,13.69,63703,19
31109003714,970.2264,0,48049,20
31109003715,2544.496,0,48585,19
31109003716,5291.725,6.2,35339,18
08101001100,4361.275,0,12161,19
31109003718,306.8013,0,67200,18
31109003719,575.0924,0,40917,23
17031840700,17672.29,0.87,13540,33
41027950200,256.7183,0,34348,13
34017010300,8468.246,0,20376,31
48215022201,999.3322,7.97,10991,26
26151970600,283.445,0,29566,22
27053026007,966.0821,0,53962,21
27053026005,2136.067,0,43403,22
36047078600,75607.05,13.65,20685,42
18039000700,281.9323,2.51,30878,22
37051003404,712.231,0,25308,6
42101980600,0,0,0,0
34023001803,3691.747,0,34943,27
34023001804,5140.864,0,34492,27
34023001805,3185.489,0,33513,33
04021001403,5156.405,10.16,16881,26
12113010503,1004.003,0,22689,21
29067950100,8.355714,31.01,19193,33
29071800602,274.5156,3.5,27443,27
35043010723,162.7178,2.18,21148,32
35043010720,1432.229,0,34004,29
35043010721,2546.723,0,21393,31
17197880105,5694.766,0,27048,28
42055011000,2996.321,15.72,16252,21
17197880107,4734.649,0,24197,31
48215022204,562.4943,7.93,12740,22
26005030902,77.34189,0,31597,29
42115032300,70.52493,6.85,19706,30
26005030901,78.72254,5.52,28942,21
26099206700,1941.232,5.1,27815,27
72109990000,0,0,0,0
24005491202,6176.358,0,30920,25
39095003500,2447.52,0,11931,20
01083021200,147.253,0,34260,24
18141000800,5020.042,0,33682,14
21239050300,31.22355,0,35324,22
55011960500,18.89415,0,27958,21
06037650701,3090.438,0,45119,30
06037650702,8761.269,0,47999,28
27145011100,44.02529,4.69,26707,26
08123000800,4880.332,0,22897,18
12113010504,642.1382,0,32092,26
42013100500,7773.783,7.81,19735,17
27145010500,39.17606,0,29025,21
08001009103,2051.45,4.43,16228,28
53063011202,317.1368,0,26708,26
08001009101,6546.978,0,22440,26
12011051002,5762.675,0,59372,27
08001009104,6103.507,2.33,21854,30
12011051001,6984.428,0,39321,25
26163556300,3132.351,0,38326,27
24009860600,362.4796,0,40379,39
40027201801,2035.402,0,46316,19
40027201802,3493.235,3.45,43230,20
25025081500,17266.95,0,21997,32
51161030100,47.5208,0,35673,29
44007016900,2610.073,46,37679,24
31165950100,0.6164635,0,27279,18
72127007900,6082.692,0,23465,23
36081051800,33491.82,0,22200,48
06075047902,24100.33,0,44794,34
06075047901,15229.78,0,42703,33
55097961300,29.14634,1.54,25419,25
36081046400,19076.75,0,31431,46
17141961500,40.1201,0,30529,24
42101024700,11760.35,0,11581,33
12091020100,31.09965,16.79,26259,36
17097865300,2686.239,0,63884,34
48245000103,432.3531,0,10206,15
09009160100,494.3141,0,63811,27
06037535400,10735.3,6.67,9825,33
12057000902,8110.884,0,18057,22
25005985600,1146.87,0,34508,28
17141960800,25.82349,0,29028,27
12057000901,8036.508,29.23,13935,26
29189213700,1588.959,0,24313,24
13097080602,626.7348,8.54,26048,30
27161790200,18.05701,0,26841,25
15007040300,2318.011,4.68,27756,28
48053960100,20.56392,0,27693,35
39153532706,777.9666,0,40168,26
06073008513,5098.446,0,37773,21
06073008512,5704.296,0,36321,20
06073008511,639.4195,3.42,39366,18
06073008510,8726.984,0,34209,19
55017011100,21.26214,1.78,28113,27
17029000400,200.0251,13.33,17285,15
34037372300,155.4091,0.97,36439,35
12111382200,18.25384,0,29633,23
36029012300,5822.184,6.06,19995,24
08013012103,4436.61,0,58508,18
08013012102,6702.268,7.6,45369,18
08013012101,4206.468,0,57704,20
51059491501,7580.643,0,46804,38
39055311500,266.2543,0,61471,30
08013012105,5873.69,0,42803,18
29189220300,947.3198,8.16,19368,23
23017965400,25.51149,0,22508,25
42025020103,115.3863,6.08,25953,40
29001950400,520.0215,0,24243,16
22105954700,141.3526,1.39,26611,28
55079017100,10979.99,5.24,14051,23
51033030100,31.39082,6.94,26028,22
42021013400,1261.888,0,12764,28
36047033700,53716.95,0,26013,41
45013010300,926.0158,0,57889,15
25025000504,35030.34,0,32780,34
55009002002,3763.677,0,28349,18
26099254200,4108.972,8.07,29225,28
25013800300,4299.057,4.87,23270,24
48113000202,6244.597,0,57244,24
16057005400,279.5056,1.52,13681,14
48113000201,4188.061,0,77248,25
06085513500,1.446533,16.67,49863,40
42101027100,21608.74,0,17772,36
34003058200,3741.714,0,50931,30
29095011500,3393.917,23.92,16598,22
42079217600,16245.17,11.07,15696,20
04005944900,49.07127,19.9,15380,16
36059414800,7004.817,0,46331,32
42101033000,25556.07,0,17734,37
09011696800,8317.711,11.94,20928,20
53073000805,497.3251,10.53,39949,20
53073000804,1598.658,0,38988,21
06037301300,4295.595,0,62537,24
39155921300,696.0198,37.5,24321,22
48141010220,140.6441,0,10474,24
48141010221,1109.735,6.69,13711,20
48141010222,408.2566,21.47,19524,24
42079211600,2110.337,6.25,27816,22
45049920300,33.72607,0,14450,43
06085504319,9106.667,0,36244,29
51760010800,7089.913,0,17549,26
01069040500,2150.391,6.45,29632,18
42003130200,11281.89,0,18141,29
09003400200,467.188,0,46347,22
26149041400,125.2329,17.08,22761,24
34017014102,14506.55,0,36262,41
04027011600,597.9377,0,9860,29
34017014101,18075.55,0,54560,42
36081044800,36558.32,0,22140,45
05105952700,40.00405,0,24740,38
12086016800,6032.495,0,23284,41
02170001100,258.0807,0.87,37077,32
09013530200,4880.509,0,27154,25
13135050205,2199.277,8.28,29183,31
48367140411,143.3975,0,27962,40
48367140410,107.1175,0,19512,43
54093965200,12.69026,0,23903,36
42021011800,67.09206,0,23044,31
42101013800,16074.72,0,18283,32
53061040200,6421.928,0,19745,30
13135050209,3612.161,4.15,23357,30
13135050208,2383.09,7.37,27870,31
37179020602,554.11,4.79,20028,22
37179020601,375.0053,18.13,17573,31
39095009900,395.8638,0,32151,20
39077915500,778.5143,4.75,21914,24
17201000514,841.2806,0,35218,20
51097950400,19.79954,0,26857,37
36047098400,49196.02,0,24872,44
17179020500,649.8554,7.51,25015,21
17201000510,2065.14,0,41479,20
42101011400,19217,5.91,24076,40
17201000512,757.3434,0.5,39198,22
17201000513,1931.63,0,31869,19
27041450500,52.58604,0,35876,18
04019003004,2350.508,2.86,29421,23
26049001500,2215.167,12.93,9200,37
39113040201,2171.843,0,38397,23
42101023900,6671.875,0,30262,31
34025806600,2837.866,0,43493,28
50027966500,34.93372,0,30477,22
22033004009,986.4274,6.81,37694,21
21157950300,112.2471,0,25067,23
48201340203,1051.849,0,53887,26
48201340202,1497.306,0,44237,27
42003439000,264.9629,0,53778,28
35053940000,1.321102,27.27,9684,25
01073010200,2061.56,26.09,16764,24
06067005205,561.0753,0,21252,27
22033004006,2689.285,0,50227,22
19163011900,4222.931,0,23463,17
22051020514,6412.155,0,46743,23
06087122202,2297.095,0,50774,30
26121003200,374.5511,1.63,17364,26
45039960500,44.93011,0,19023,32
05113950200,48.81027,0,17195,19
23025965600,17.03971,2.88,17125,32
37071031201,1871.348,7.91,27012,22
37071031202,1044.577,0,16145,18
02122000700,61.16058,10.02,31180,23
18127050603,645.6594,1.79,39354,25
18127050602,2168.412,4.31,41428,30
08059010100,1726.879,0,35797,27
41051004500,3621.364,0,63077,21
45041001300,2480.201,0,27656,16
12085000400,1846.124,2.78,30996,26
32003003204,3233.755,0,41042,24
39057200104,1267.546,1.77,14427,16
48201240701,5263.912,0,19552,30
72021031304,2231.183,10.62,10666,36
39005970900,58.27072,9.48,25771,26
72021031306,4573.174,9.38,17581,43
72021031307,7848.19,0,18064,38
26163530900,2927.569,0,19161,25
72021031301,4777.831,0,13178,43
45019003200,233.178,0,20946,6
27123036800,6023.604,0,29959,21
36043010100,49.67044,4.86,26318,26
09003473601,656.2911,0,44185,21
26141950100,11.44674,0,30227,24
09003473602,2036.781,0,33628,21
34025800602,4033.774,11.29,36269,30
05109953300,27.17002,3,18262,27
48201432902,11644.88,32.51,15853,27
04013050608,1599.647,2.42,17898,30
48201432901,5650.147,0,18142,29
53033007500,25904.69,0,51201,23
36055008600,2350.13,20,29745,19
29047021310,1628.112,0,34204,29
12086010208,12325.88,13.37,13179,35
37183052301,4184.689,0,24768,20
37183052302,2317.154,0,20240,19
06053013700,17807.83,0,14605,19
09003502100,2236.962,0,65817,17
48037011300,46.02065,4.13,20559,18
26017286000,830.7537,0,36900,22
04013050609,1123.608,2.92,21204,31
36047085400,41077.71,0,22045,41
31005958300,0.6108859,0,21174,21
04013061018,1477.141,0,44472,26
48201542101,5947.542,0,22082,34
24031705702,4915.599,0,98359,28
06079010902,8856.486,0,12167,16
06079010901,1481.314,0,6598,13
24031705701,5863.467,0,93048,30
42101021500,9976.931,0,37763,33
26147632000,252.8777,0,28204,27
26139022600,2057.014,8.64,33063,18
34035050704,3715.911,0,47299,37
09009171600,1555.374,0,32170,23
34035050701,1925.487,4.13,38366,32
06037502401,13737.26,0,17859,29
42125721000,57.38722,0,32918,33
26075000100,2636.379,0,18944,16
15009980000,0,0,0,0
48061014400,1184.233,0,20485,23
51083930800,1058.451,0,18389,16
72031050302,8990,0,12659,28
33015003703,395.6578,0,39994,27
50025968700,71.76701,0,32599,22
33015003701,744.3194,0,38206,32
22071011900,9454.618,0,45583,15
12011110338,8402.671,10.94,25616,30
12011110339,7163.675,0,26731,30
42081000100,3547.39,2.96,26749,14
19001960300,75.46875,0,26918,19
37119006208,2339.309,9.68,41986,27
37119006209,2508.679,0,44846,25
12011110332,3406.849,8.62,37523,31
50007003900,5666.085,0,11910,13
12011110334,3759.756,0,24142,33
12011110335,9391.085,0,18529,28
12011110336,7651.475,0,25516,27
12011110337,6888.622,5,23126,30
40109106000,300.221,0,33654,18
48113018111,6216.138,0,21998,31
25015821000,1266.748,0,36451,25
17031831500,9519.999,4.64,23367,40
51810045806,7567.727,0,23975,25
12086018100,9679.598,3.65,20950,40
48113018118,3814.393,0,27353,33
17031071300,31866.4,0,98012,30
25001014800,1725.588,0,40796,28
36005018900,59730.18,9.31,13562,37
21111005200,10373.15,0,22894,24
45031010700,944.205,0,14674,26
42003141400,7191.23,0,52430,23
22071012800,10220.88,0,40401,19
36063020300,891.307,0,24794,15
55009000700,5117.988,0,22254,20
23003950600,73.78406,0,21995,14
12011020209,6344.615,0,19492,26
12001001519,3671.042,0,10868,16
51810045801,3679.825,0,29248,30
36081010701,0,0,0,0
12001001516,8905.765,0,16285,16
12001001517,9064.312,0,11681,18
12001001514,2284.63,0,18820,16
12001001515,8138.155,0,13243,15
13103030202,93.29474,0,23695,31
13103030203,157.6705,3.16,23975,37
41005023901,2497.733,6.93,25008,37
13103030204,86.68178,1.94,20585,37
19103001500,4162.936,0,34612,15
25027739500,1171.312,0,51385,28
42033330100,216.5567,0,23535,15
39101010500,85.60509,4.14,27928,24
36005018301,153059.3,17.65,23493,40
24037876001,2157.261,5.26,26829,26
49057200300,1739.495,29.64,20266,22
29047020300,2609.982,0,29307,21
36059303500,9809.907,2.65,37042,31
15003006000,23657.38,11.71,21764,28
26125168600,2882.829,9.23,44495,23
55139001100,3991.035,0,22755,17
16001000701,4529.436,0,38274,16
16001000702,495.6021,0,63899,17
32003002980,13606.18,0,26392,20
32003002981,12442.29,0,24736,18
32003002982,10089.64,0,27479,19
32003002983,3396.352,0,24227,19
06071011900,26.37597,0,20425,31
32003002985,2254.611,1.85,25828,20
48201333902,5752.454,1.28,19474,32
36081083800,29827.25,0,25442,49
55087011700,3910.016,0,23990,17
48453001839,2279.347,0,32967,23
48123970200,37.96496,0,19020,21
36005017702,99276.29,14.93,14577,43
48453001833,7070.141,24.72,24229,26
22083970300,23.81604,7.8,23026,27
39093050200,1964.68,0,26958,21
26107960100,33.67076,2.91,20941,32
06013326000,3755.571,1.9,54761,32
48453001834,1562.985,0,35875,24
36047072600,20321.35,0,30016,50
55053960100,8.761684,4.19,19114,20
51069050300,64.88619,0,32073,40
26125167300,2082.498,0,26553,23
12086000903,2407.261,12.07,12036,29
45017950400,20.18235,0,24776,31
06037602002,15516.82,2.86,14287,27
53033001100,6665.381,0,41961,31
36003940200,33.88169,0,0,0
36055004602,11048.24,0,12487,37
01117030103,32.54322,0,28526,29
36005039600,52269.66,22.45,17315,45
17141961700,366.3918,0,27982,27
48439104701,9441.297,6.65,11923,27
08001008540,1447.461,3.16,35542,33
51059452301,16811.86,0,28870,39
54043955400,69.23581,11.18,20956,35
51059452302,20891.66,15.36,22513,29
47029920600,519.9998,11.84,18105,18
08101002100,5299.063,21.36,14618,19
28153950400,17.14302,5.37,18469,32
06089012101,2043.205,0,19796,17
06089012102,524.293,0,19667,19
25001010306,409.2309,19.71,33373,21
25001010304,297.4247,0,40259,20
10003013700,2043.162,21.48,22508,23
06001432200,10713.45,0,36936,31
39045032200,2783.654,0,17341,24
33011200300,549.4329,0,38974,31
06037620303,9551.696,7.91,86375,32
22095071000,816.959,21.14,20893,21
09007595101,110.6082,0,47799,31
39139001200,1105.725,20.25,33272,25
09007595102,265.7641,0,36393,29
31055006302,4866.559,11.11,20228,22
31055006303,6857.009,12.5,18085,19
26125190700,1004.418,0,59031,30
31055006301,2263.649,0,21109,20
26139024600,643.9742,6.15,29972,23
21111008400,9442.873,0,36171,18
10003000200,9228.734,0,25818,25
18105000302,4586.981,0,34419,17
18105000301,6019.234,0,28144,16
12031016728,1607.822,4.57,32119,24
12031016729,6052.231,2.4,29199,20
49043964401,138.733,0,75061,18
12011060402,13949.84,10.57,15124,29
12031016725,1436.602,0,25342,19
06037554203,14496.27,0,23209,27
12011060401,8340.838,0,15746,29
06037554204,17004.58,0,16558,30
12031016722,2574.137,0,26205,25
09005349200,777.068,8.06,30149,31
36063024102,74.32311,0,23873,29
05031001200,25.76665,9.77,20056,19
36047032800,27330.36,11.43,44906,55
36063024101,73.87535,0,25518,30
18035001600,2446.061,6.02,15509,21
17143001900,6350.58,0,21144,15
17077011700,817.7461,0,11028,14
48287000100,23.75581,12.96,28954,35
01077010400,1507.271,16.19,22389,17
12033002400,827.4859,1.55,17549,9
08031004801,5952.513,10.76,26433,26
18053000600,1309.546,0,22808,20
17019005500,1317.026,9.64,29904,16
45013000903,292.9293,0,36029,24
08035014406,706.5617,0,45186,33
45013000901,133.3071,0,36353,31
39049009450,2015.504,0,28857,27
47109930500,70.30478,0,17723,21
55079014900,11329.4,26.53,11234,22
29019001701,81.68956,12.07,28413,21
01121011100,43.885,9.47,15913,29
06065040904,8535.465,12.88,20130,35
22115950200,30.24832,3.8,26882,37
06065040901,8661.641,0,26233,34
06065040903,8623.873,0,18122,30
06065040902,2021.315,0,24687,31
26121003600,243.3025,0.85,21981,23
38017000502,9833.867,0,17292,14
51165011400,385.4077,0,35146,17
72149720400,6892.405,0,8783,22
12099005814,9637.304,9.29,13576,26
12099005815,4493.66,0,22352,29
12099005816,6532.839,0,24499,28
12099005817,6246.491,0,25602,24
12099005810,3490.068,0,28416,21
12099005811,4932.052,0,29920,25
12099005812,8354.454,0,23415,25
12099005813,8150.378,34.15,27104,27
06065042507,2207.3,24.03,19270,37
06065042506,7946.427,7.27,20979,30
06065042505,2544.543,10.88,12196,28
48479001720,5630.009,0,21036,19
26163526300,7975.657,46.46,11508,30
06037404202,15952.96,0.72,13382,22
06065042509,6850.936,8.12,16084,34
06065042508,11086.62,8.87,13930,34
20147475100,2.649727,0,29349,22
17031060500,14340.86,100,46934,35
06037482502,12447.38,2.9,19962,30
36009961500,1412.323,5.88,30075,17
55085971500,649.0609,0.96,21505,13
26163557000,3000.9,8.33,29269,21
26163505100,4058.075,0,19685,27
01069041900,108.362,0,21410,25
06037297400,4583.712,0,51469,25
22033003507,1872.949,0,28470,26
22033003506,2565.11,0,20480,21
22033003505,1243.777,0,19326,22
22033003504,3527.263,0,21962,24
22033003501,603.7251,0,21003,25
27137012300,3862.831,4.98,29309,15
17031090200,11099.74,0,50523,34
13299950800,11.97647,11.42,14963,19
06007000104,5680.166,0,24094,16
27099000800,4762.158,20.6,28253,14
48199030400,235.6331,14.46,22919,30
48465980000,0,0,0,0
01035960300,10.18085,12.77,18578,35
01089010624,1649.463,6.09,33332,25
12095012202,5950.071,13.02,14623,33
34017012500,13715.65,0,31222,33
06075016400,36197.95,0,63759,33
18097370201,1616.635,9.24,20696,24
18097370202,1835.664,17.54,16213,22
42001031201,141.5647,0,39596,33
42001031202,248.4372,0,32230,32
42001031203,179.9256,0,32050,30
06037540800,7661.228,0,19448,33
39049008321,6162.871,0,20341,22
39049008322,6173.15,0,17480,21
13121001900,13606.79,0,26936,21
06007000103,3321.313,0,32049,18
17031081600,76709.41,0,90336,25
26163515900,3310.162,0,11602,29
36047023800,61638.07,20.97,17510,35
36085029104,13116.56,0,31530,44
26073000600,4797.499,0,20807,14
42069112200,7596.237,0,33443,23
36085029102,815.5029,0,32752,47
34001001400,5058.416,0,13651,18
26163539500,5312.543,0,22902,21
48113001800,15674.59,0,69746,23
37049960101,245.8011,0,28642,24
18127051101,171.4139,0,23908,32
19147960200,13.95902,7.94,23228,18
06037240200,18238.47,8,11061,30
48121020602,3501.3,5.5,20214,25
48121020601,5004.156,1.66,12532,22
06067005201,4638.556,0,8689,21
18097355700,3024.006,10.75,12836,24
42043022604,1539.808,0,42475,22
13115001200,2003.98,4.8,19946,21
48093950300,657.9479,18.24,15443,18
42043022601,2004.977,0,32982,22
39099812800,164.2755,10.32,22816,30
16079960200,1.670229,19.34,22637,21
08069001004,4543.342,0,38746,16
34023004900,22100.06,20,17877,24
08069001007,3418.771,7.27,33150,19
21101020300,6007.712,0,14472,15
41067033302,197.5902,0,34691,29
39137030700,61.80949,0,29069,22
41067033301,5536.177,0,22705,27
39061024901,176.1771,0,24118,21
39061024902,1434.067,0,52475,27
08069001009,2380.864,0,46363,18
36081037700,66893.94,22.66,15195,42
19153004502,3821.524,41.46,29425,19
19153004501,5687.621,14.07,20536,19
08069001008,3078.381,6.58,39269,16
32003002838,3960.34,0.64,32251,18
25025050700,52396.25,0,22610,33
05129970200,23.17086,0,18319,23
45011970200,50.59715,6.25,15446,32
36081048300,51428.92,0,21209,38
48201324000,1830.16,4.29,28809,28
72031050803,14447.56,0,14203,31
24510150200,17536.6,5.04,14368,35
22013970300,31.48987,3.31,20693,33
41011000300,2526.394,16.9,23022,13
42003411000,512.0506,1.74,53227,27
36031960800,47.55092,0,33125,19
42029303901,1207.206,0,53491,29
13035150300,129.3348,25.1,16007,33
06081602400,6903.286,0,41123,26
26163522100,1963.315,0,14215,26
06037500800,7893.843,0,20779,31
04015953900,482.2844,0,20961,11
18089042602,1184.925,6.86,35709,35
33011010600,5988.708,0,25033,25
22073001100,3400.646,18.51,8768,15
17043840908,2478.788,4.49,25662,29
17043840907,3202.485,5.11,31331,28
06029002301,4251.819,0,9718,23
17043840904,2211.433,0,23690,22
26163560200,2926.676,6.92,37992,28
17043840901,1383.314,0,36428,26
06059011000,5222.157,0,34140,29
12009064202,2765.853,6.8,27601,23
12009064201,1921.729,0,33977,19
45045003104,121.5847,18.05,24555,25
45045003103,244.4808,0,32221,22
36119004700,5157.93,0,137222,41
45045003101,1080.698,0,25008,22
55021970700,101.2586,0,33819,28
06065048901,11315.42,1.94,16604,38
32003002833,10200.42,0,27080,21
42091207300,5485.902,0,30151,26
36061022500,104905.6,0,21751,38
45083020400,2171.552,14.56,10849,20
39089753900,1118.982,0,36647,22
36025970900,4852.236,0,3346,11
29043020306,477.5879,0,25502,22
06037219700,9717.6,0,19663,37
06065048902,13015.77,6.1,12272,32
29043020302,750.2493,2.49,23658,23
29043020303,236.7226,0,24467,24
06037204300,20060.48,17.56,12629,29
04013616500,4213.763,0,25339,23
49049000508,5702.015,8.98,18556,22
49049000509,4026.161,0,20250,20
06001451202,242.8216,0,45477,32
17131040200,14.54559,5.56,24021,34
06001451201,5045.317,0,40027,30
13245000200,2763.557,16.44,13622,16
47079969100,29.30615,0,25054,26
49049000506,5776.768,0,19982,24
49049000507,1662.636,0,26413,21
49049000504,4511.58,5.43,23343,24
49049000505,2126.285,4.42,23566,24
31075956300,0.8335223,0,21925,24
18089042000,1329.078,0,28370,26
37183051502,2412.227,5.42,51480,17
29189219700,3581.317,0,30105,24
12073001200,2344.402,0,10745,17
18061060400,197.3412,3.93,26687,24
29189216700,4505.454,0,50012,18
23005004803,326.3506,0,30205,28
36047102800,4491.674,0,28138,48
22045030700,3921.765,0,25977,22
18003000500,3654.47,0,17969,21
18089010100,2241.744,15.58,36538,32
12105011606,85.37293,0,20767,27
12105011604,708.6974,12.17,17012,44
12105011605,854.4968,0,24309,28
36047056400,36272.64,0,35602,40
12105011603,960.5946,0,22506,29
36067000700,12837.84,0,21291,19
37001021000,2792.531,23.35,14926,17
25017350104,21127.37,0.48,27010,30
46007941200,1.708568,0,13156,22
48041002011,47.37148,0,42523,22
48201254400,2825.318,0,13425,23
48041002013,484.8646,6.34,20081,21
36119001102,17180.85,0,19997,32
48041002015,8186.113,0,3115,17
48041002014,181.1231,0,29132,15
38099958300,2.442446,0,34133,20
17021958600,16.58817,0,29633,25
18029080103,783.931,0,40332,31
42101033500,11233.25,4.05,20398,37
27139081300,101.7161,7.66,28036,26
06081604800,12449.93,6.37,43441,28
24031700704,2686.021,0,35319,33
24031700706,3023.813,0,37972,32
42129808100,122.9234,8.02,20451,22
42057960300,29.99524,3.05,25802,35
47133950301,150.1016,0,21276,24
27027030202,18.64943,0.76,32089,28
26163533100,5661.751,2.5,19370,20
27027030201,17.03453,6.14,30825,27
20173007800,3444.385,10.56,12759,19
48187210709,2723.87,0,34883,26
48187210708,6263.95,0,32478,30
48479000300,10416.45,7.36,6237,22
37157041400,403.5203,7.63,16838,20
37199960300,45.98646,2.7,23493,21
08043979200,18.03131,0,37025,21
48187210707,1833.405,0,34940,32
48187210706,4091.141,0,24658,24
48187210705,2301.948,0,31401,23
17043845602,4761.852,0,41023,30
37025042200,1360.116,9.61,27142,25
36101961300,84.4973,4.52,22315,23
37071030302,306.3138,0,18868,27
37071030301,219.7638,12.57,20650,25
36005040400,37763.06,1.78,23812,41
06007000401,1774.779,0,28492,21
06007000402,3165.607,0,37457,15
48201520400,3911.799,13.89,14379,26
26101000100,23.17413,6.61,20010,31
06085503001,6354.733,0,72538,29
06085503002,6777.572,0,48484,29
06085503003,7442.076,0,52519,28
44003020500,2513.469,1.24,29292,20
17121951800,133.9973,0,21405,21
04013813200,3900.905,0,43041,27
49049002901,1389.2,0,20110,20
49049002902,4682.565,8.85,16919,19
28003950100,168.3753,0,21328,23
39113160100,83.79272,0,38463,30
22075990000,0,0,0,0
17001000100,914.701,0,30465,13
12083001205,131.4004,13.64,21816,25
06001405100,8791.107,0,88649,29
06029004603,3079.837,26.09,1825,0
06029004601,4380.799,92.52,3754,0
39081012200,77.35664,0,25943,28
06029004604,66.80927,1.03,12364,19
39155932702,4471.636,18.06,21069,17
39155932701,2649.271,0,26165,18
24027602600,3745.322,0.3,35573,26
13215002500,1456.161,0,6548,19
09003520202,334.0851,0,65219,25
36047059000,30886.5,0,27246,42
22017025200,1445.371,46.15,20237,26
08035014300,3.800863,0,37582,42
22055001600,3217.836,0,44111,19
06019003808,2987.162,0,18849,30
06019003809,4383.554,1.99,17599,21
17031813600,17510.17,0,15316,32
17043846413,1848.507,0,44709,31
17043846412,4871.896,0,41269,34
17043846411,1793.931,6.95,37095,34
17043846410,6104.604,0,33936,33
41005020401,3483.218,0,42825,23
17031802200,2638.237,0,65212,27
41005020403,2195.704,0,77778,24
06019003803,928.3488,2.81,23501,22
06037235201,10624.17,0,20063,36
06019003805,8059.548,8.72,10647,19
06019003807,1799.794,2.65,12058,19
32031002705,536.6601,0,17008,24
18037953700,78.38493,0,26398,21
36051030600,131.8564,1.89,26702,25
25017326101,305.0461,0,54307,34
25017326102,367.7926,0,48424,36
39049005100,1134.295,17.07,6806,17
06037574800,6273.585,0,58113,30
12086005407,10336.71,21.95,16059,26
47125101904,84.93484,0,33084,26
08059010213,4697.162,0,23847,26
08059010212,4827.686,4.68,29513,25
08059010211,5001.608,0,28486,33
06013325000,5056.978,4.91,44524,30
30067000100,2.175602,8.45,29760,32
32031002706,4504.726,0,20116,27
19125030600,21.32162,0,26452,30
26117971000,85.76939,3.26,16574,29
34013012400,19072.52,0,18219,37
27147960100,31.23886,1.95,30865,20
34009021300,2233.547,0,29833,30
23031035000,228.1733,0,35294,31
36055011708,350.3002,0,69705,21
06061021108,4159.557,0,24370,27
06061021109,2355.538,0,45955,22
42039110201,53.0654,3.11,27432,25
51059432500,4406.292,0,59631,34
36055011703,1160.746,0,38090,21
06061021106,2557.691,0,36712,28
21111011002,1757.837,0,16913,25
21111011005,4005.316,0,21813,21
21111011004,6867.237,0,25079,20
36055011705,1694.525,0,40897,22
13213010100,43.65242,10.71,17060,36
37077970603,244.2211,9.13,28665,24
37077970602,211.9442,9.13,28646,32
37077970601,117.8187,0,25872,33
31001966000,291.6932,0,20842,14
19037070100,11.49558,3.14,26683,23
26163526200,12399.13,6.32,8884,31
51059451502,7797.35,7.03,32502,30
51059451501,10901.63,0,35779,29
05003960400,5.138087,0,20004,18
21219950300,47.56238,0,18053,22
29097011000,3661.016,0,17517,20
06037242200,20274.44,3.7,10617,38
18003002100,5470.818,29.65,10421,19
48487950600,555.2868,6.73,24490,9
36119013900,1346.521,0,57911,41
48083950300,198.3274,45.76,22017,17
53009001200,1397.72,0,30270,14
48439113114,910.6108,0,36047,30
05051011500,1866.076,10.53,14610,18
08077001702,232.0854,2.32,26729,24
47037013601,3812.357,10.38,13660,25
12105015600,79.2961,0,23356,29
26159010100,97.79164,7.42,22977,27
05003960100,5.571797,0,18603,24
47141000400,1769.196,0,29260,19
16047960100,13.53874,3.84,21588,23
48085030408,1885.889,0,31187,24
47157007822,1967.44,0,12117,19
47157007821,4321.309,29.35,12045,19
18167000400,4867.792,12.69,13391,14
08077001707,3070.832,44.66,24498,26
28087000200,215.5978,0,22636,8
